nm, A
710.000000, 0.133396
709.000000, 0.133886
708.000000, 0.134529
707.000000, 0.135217
706.000000, 0.136098
705.000000, 0.137000
704.000000, 0.138017
703.000000, 0.139224
702.000000, 0.140774
701.000000, 0.142469
700.000000, 0.144475
699.000000, 0.146873
698.000000, 0.149589
697.000000, 0.153023
696.000000, 0.156737
695.000000, 0.161279
694.000000, 0.166679
693.000000, 0.172955
692.000000, 0.180297
691.000000, 0.189074
690.000000, 0.198842
689.000000, 0.210266
688.000000, 0.223235
687.000000, 0.237642
686.000000, 0.253545
685.000000, 0.270567
684.000000, 0.288206
683.000000, 0.306170
682.000000, 0.323782
681.000000, 0.340403
680.000000, 0.355474
679.000000, 0.368104
678.000000, 0.378424
677.000000, 0.385714
676.000000, 0.389791
675.000000, 0.390965
674.000000, 0.389323
673.000000, 0.384856
672.000000, 0.377815
671.000000, 0.368639
670.000000, 0.357162
669.000000, 0.343791
668.000000, 0.328490
667.000000, 0.312026
666.000000, 0.294414
665.000000, 0.276666
664.000000, 0.258874
663.000000, 0.242157
662.000000, 0.226833
661.000000, 0.213423
660.000000, 0.201956
659.000000, 0.192638
658.000000, 0.185428
657.000000, 0.179708
656.000000, 0.175249
655.000000, 0.171788
654.000000, 0.169278
653.000000, 0.167342
652.000000, 0.165870
651.000000, 0.164820
650.000000, 0.164015
649.000000, 0.163513
648.000000, 0.163131
647.000000, 0.162851
646.000000, 0.162302
645.000000, 0.161800
644.000000, 0.161258
643.000000, 0.160352
642.000000, 0.159257
641.000000, 0.158028
640.000000, 0.156698
639.000000, 0.155331
638.000000, 0.153874
637.000000, 0.152270
636.000000, 0.151089
635.000000, 0.149704
634.000000, 0.148576
633.000000, 0.147656
632.000000, 0.146767
631.000000, 0.146183
630.000000, 0.145748
629.000000, 0.145422
628.000000, 0.145422
627.000000, 0.145442
626.000000, 0.145446
625.000000, 0.145524
624.000000, 0.145863
623.000000, 0.146146
622.000000, 0.146529
621.000000, 0.146959
620.000000, 0.147423
619.000000, 0.147865
618.000000, 0.148602
617.000000, 0.148967
616.000000, 0.149804
615.000000, 0.150659
614.000000, 0.151481
613.000000, 0.152393
612.000000, 0.153351
611.000000, 0.154337
610.000000, 0.155026
609.000000, 0.155231
608.000000, 0.155232
607.000000, 0.154349
606.000000, 0.152964
605.000000, 0.150935
604.000000, 0.148053
603.000000, 0.144905
602.000000, 0.141391
601.000000, 0.137764
600.000000, 0.134119
599.000000, 0.130725
598.000000, 0.127663
597.000000, 0.125101
596.000000, 0.122642
595.000000, 0.120454
594.000000, 0.118820
593.000000, 0.117208
592.000000, 0.115629
591.000000, 0.114489
590.000000, 0.113501
589.000000, 0.112536
588.000000, 0.111838
587.000000, 0.110972
586.000000, 0.110087
585.000000, 0.109395
584.000000, 0.108709
583.000000, 0.108042
582.000000, 0.107308
581.000000, 0.106242
580.000000, 0.105287
579.000000, 0.104528
578.000000, 0.103502
577.000000, 0.102463
576.000000, 0.101521
575.000000, 0.100565
574.000000, 0.099520
573.000000, 0.098560
572.000000, 0.097519
571.000000, 0.096581
570.000000, 0.095482
569.000000, 0.094700
568.000000, 0.093594
567.000000, 0.092574
566.000000, 0.091487
565.000000, 0.090531
564.000000, 0.089542
563.000000, 0.088394
562.000000, 0.087331
561.000000, 0.086016
560.000000, 0.084847
559.000000, 0.083523
558.000000, 0.082241
557.000000, 0.080815
556.000000, 0.079471
555.000000, 0.077933
554.000000, 0.076606
553.000000, 0.075167
552.000000, 0.073670
551.000000, 0.072194
550.000000, 0.070868
549.000000, 0.069481
548.000000, 0.068062
547.000000, 0.066589
546.000000, 0.065411
545.000000, 0.064147
544.000000, 0.062799
543.000000, 0.061672
542.000000, 0.060274
541.000000, 0.059217
540.000000, 0.058055
539.000000, 0.057078
538.000000, 0.056224
537.000000, 0.055183
536.000000, 0.054304
535.000000, 0.053698
534.000000, 0.053290
533.000000, 0.052540
